,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop
S1857,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity+,reference,reference,COP+
S1858,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,reference
S1859,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+
S1860,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,reference
S1861,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+
S1862,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S1863,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S1864,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,reference,reference,reference
S1865,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,reference,reference,COP+
S1866,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,reference
S1867,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+
S1868,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference
S1869,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+
S1870,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S1871,reference,Ren-,reference,reference,reference,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S1872,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,reference,reference,reference
S1873,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,reference,reference,COP+
S1874,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,reference
S1875,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,reference,PriceWood+,COP+
S1876,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,PriceGas+,reference,reference
S1877,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,PriceGas+,reference,COP+
S1878,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,PriceGas+,PriceWood+,reference
S1879,reference,Ren-,reference,reference,Sufficiency,reference,reference,reference,PriceGas+,PriceWood+,COP+
S1880,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,reference
S1881,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,reference,COP+
S1882,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,PriceWood+,reference
S1883,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,reference,PriceWood+,COP+
S1884,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,reference
S1885,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,reference,COP+
S1886,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S1887,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S1888,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity-,reference,reference,reference
S1889,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity-,reference,reference,COP+
S1890,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity-,reference,PriceWood+,reference
S1891,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity-,reference,PriceWood+,COP+
S1892,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,reference,reference
S1893,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,reference,COP+
S1894,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S1895,reference,Ren-,reference,reference,Sufficiency,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S1896,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,reference,reference,reference,reference
S1897,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,reference,reference,reference,COP+
S1898,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,reference,reference,PriceWood+,reference
S1899,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,reference,reference,PriceWood+,COP+
S1900,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,reference,reference
S1901,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,reference,COP+
S1902,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S1903,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S1904,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity+,reference,reference,reference
S1905,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity+,reference,reference,COP+
S1906,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S1907,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S1908,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S1909,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S1910,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S1911,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S1912,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,reference,reference
S1913,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,reference,COP+
S1914,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,PriceWood+,reference
S1915,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S1916,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S1917,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S1918,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S1919,reference,Ren-,reference,reference,Sufficiency,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S1920,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,reference,reference,reference,reference
S1921,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,reference,reference,reference,COP+
S1922,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,reference,reference,PriceWood+,reference
S1923,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,reference,reference,PriceWood+,COP+
S1924,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,reference,PriceGas+,reference,reference
S1925,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,reference,PriceGas+,reference,COP+
S1926,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S1927,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S1928,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity+,reference,reference,reference
S1929,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity+,reference,reference,COP+
S1930,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S1931,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S1932,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S1933,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S1934,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S1935,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S1936,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,reference,reference
S1937,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,reference,COP+
S1938,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S1939,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S1940,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S1941,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S1942,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S1943,reference,Ren-,reference,reference,Sufficiency,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S1944,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,reference,reference,reference,reference
S1945,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,reference,reference,reference,COP+
S1946,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,reference
S1947,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,reference,reference,PriceWood+,COP+
S1948,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,reference,reference
S1949,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,reference,COP+
S1950,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S1951,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S1952,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,reference,reference
S1953,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,reference,COP+
S1954,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S1955,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S1956,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S1957,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S1958,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S1959,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S1960,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,reference,reference
S1961,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,reference,COP+
S1962,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S1963,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S1964,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S1965,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S1966,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S1967,reference,Ren-,reference,reference,Sufficiency,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S1968,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,reference
S1969,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,reference,COP+
S1970,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,PriceWood+,reference
S1971,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,reference,PriceWood+,COP+
S1972,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,reference,reference
S1973,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,reference,COP+
S1974,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,reference
S1975,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,reference,PriceGas+,PriceWood+,COP+
S1976,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,reference
S1977,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,reference,COP+
S1978,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,reference
S1979,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,reference,PriceWood+,COP+
S1980,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,reference
S1981,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,reference,COP+
S1982,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S1983,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S1984,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,reference,reference
S1985,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,reference,COP+
S1986,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,reference
S1987,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,reference,PriceWood+,COP+
S1988,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,reference
S1989,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,reference,COP+
S1990,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S1991,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S1992,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,reference,reference
S1993,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,reference,COP+
S1994,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,PriceWood+,reference
S1995,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,reference,reference,PriceWood+,COP+
S1996,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,reference,reference
S1997,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,reference,COP+
S1998,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,reference
S1999,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,reference,PriceGas+,PriceWood+,COP+
S2000,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,reference,reference
S2001,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,reference,COP+
S2002,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,reference
S2003,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,reference,PriceWood+,COP+
S2004,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,reference
S2005,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,reference,COP+
S2006,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S2007,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S2008,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,reference,reference
S2009,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,reference,COP+
S2010,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,reference
S2011,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,reference,PriceWood+,COP+
S2012,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,reference
S2013,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,reference,COP+
S2014,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S2015,reference,Ren-,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S2016,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,reference,reference,reference
S2017,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,reference,reference,COP+
S2018,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,reference,PriceWood+,reference
S2019,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,reference,PriceWood+,COP+
S2020,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,reference,reference
S2021,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,reference,COP+
S2022,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,PriceWood+,reference
S2023,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,PriceWood+,COP+
S2024,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity+,reference,reference,reference
S2025,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity+,reference,reference,COP+
S2026,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity+,reference,PriceWood+,reference
S2027,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity+,reference,PriceWood+,COP+
S2028,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity+,PriceGas+,reference,reference
S2029,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity+,PriceGas+,reference,COP+
S2030,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S2031,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S2032,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity-,reference,reference,reference
S2033,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity-,reference,reference,COP+
S2034,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity-,reference,PriceWood+,reference
S2035,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity-,reference,PriceWood+,COP+
S2036,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,reference,reference
S2037,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,reference,COP+
S2038,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S2039,reference,Ren-,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S2040,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,reference,reference
S2041,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,reference,COP+
S2042,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,PriceWood+,reference
S2043,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,PriceWood+,COP+
S2044,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,reference,PriceGas+,reference,reference
S2045,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,reference,PriceGas+,reference,COP+
S2046,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S2047,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S2048,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,reference,reference
S2049,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,reference,COP+
S2050,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S2051,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S2052,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S2053,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S2054,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S2055,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S2056,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,reference,reference
S2057,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,reference,COP+
S2058,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,PriceWood+,reference
S2059,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S2060,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S2061,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S2062,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S2063,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S2064,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,reference,reference,reference,reference
S2065,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,reference,reference,reference,COP+
S2066,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,reference,reference,PriceWood+,reference
S2067,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,reference,reference,PriceWood+,COP+
S2068,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,reference,PriceGas+,reference,reference
S2069,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,reference,PriceGas+,reference,COP+
S2070,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S2071,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S2072,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,reference,reference,reference
S2073,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,reference,reference,COP+
S2074,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S2075,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S2076,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S2077,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S2078,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S2079,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S2080,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,reference,reference
S2081,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,reference,COP+
S2082,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S2083,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S2084,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S2085,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S2086,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S2087,reference,Ren-,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S2088,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,reference,reference,reference,reference
S2089,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,reference,reference,reference,COP+
S2090,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,reference,reference,PriceWood+,reference
S2091,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,reference,reference,PriceWood+,COP+
S2092,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,reference,PriceGas+,reference,reference
S2093,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,reference,PriceGas+,reference,COP+
S2094,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S2095,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S2096,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,reference,reference,reference
S2097,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,reference,reference,COP+
S2098,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S2099,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S2100,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S2101,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S2102,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S2103,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S2104,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,reference,reference,reference
S2105,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,reference,reference,COP+
S2106,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S2107,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S2108,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S2109,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S2110,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S2111,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S2112,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,reference,reference,reference
S2113,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,reference,reference,COP+
S2114,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,reference,PriceWood+,reference
S2115,reference,Ren-,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,reference,PriceWood+,COP+
